Day/Month/Year,Hour:Min:Sec,Temperature,Humidity,HeatIndex,
Day/Month/Year,Hour:Min:Sec,Temperature,Humidity,HeatIndex
9/5/2020,20:10:53,25,27,25
9/5/2020,20:11:4,25,27,24
9/5/2020,20:11:15,25,27,24
9/5/2020,20:11:26,25,27,24
9/5/2020,20:11:37,25,27,24
Day/Month/Year,Hour:Min:Sec,Temperature,Humidity,HeatIndex
9/5/2020,20:12:20,25,27,24
9/5/2020,20:12:31,25,27,24
9/5/2020,20:12:42,25,27,24
9/5/2020,20:12:53,25,27,24
Day/Month/Year,Hour:Min:Sec,Temperature,Humidity,HeatIndex
9/5/2020,20:13:23,25,28,24
9/5/2020,20:13:34,25,27,24
Day/Month/Year,Hour:Min:Sec,Temperature,Humidity,HeatIndex
9/5/2020,20:13:54,25,28,24
Day/Month/Year,Hour:Min:Sec,Temperature,Humidity,HeatIndex
9/5/2020,20:18:4,25,27,25
9/5/2020,20:18:15,25,27,24
9/5/2020,20:18:26,25,27,24
9/5/2020,20:18:38,25,27,24
9/5/2020,20:18:49,25,27,24
9/5/2020,20:19:0,25,27,24
9/5/2020,20:19:11,25,27,24
9/5/2020,20:19:22,25,27,24
9/5/2020,20:19:33,25,27,24
9/5/2020,20:19:45,25,27,24
9/5/2020,20:19:56,25,27,24
9/5/2020,20:20:7,25,27,24
9/5/2020,20:20:18,25,27,24
9/5/2020,20:20:29,25,27,24
9/5/2020,20:20:40,25,27,24
9/5/2020,20:20:52,25,27,24
9/5/2020,20:21:3,25,27,24
Day/Month/Year,Hour:Min:Sec,Temperature,Humidity,HeatIndex
9/5/2020,20:21:33,25,27,24
9/5/2020,20:21:44,25,27,24
9/5/2020,20:21:55,25,27,24
9/5/2020,20:22:7,25,27,24
9/5/2020,20:22:18,25,27,24
9/5/2020,20:22:29,25,27,24
9/5/2020,20:22:40,25,27,24
9/5/2020,20:22:51,25,27,24
9/5/2020,20:23:2,25,27,24
9/5/2020,20:23:14,25,27,24
9/5/2020,20:23:25,25,27,24
9/5/2020,20:23:36,25,27,24
9/5/2020,20:23:47,25,27,24
9/5/2020,20:23:58,25,27,24
9/5/2020,20:24:9,25,27,24
9/5/2020,20:24:21,25,27,24
9/5/2020,20:24:32,25,27,24
9/5/2020,20:24:43,25,27,24
9/5/2020,20:24:54,25,27,24
9/5/2020,20:25:5,25,27,24
9/5/2020,20:25:16,25,27,24
9/5/2020,20:25:28,25,27,24
9/5/2020,20:25:39,25,27,24
9/5/2020,20:25:50,25,27,24
9/5/2020,20:26:1,25,27,24
9/5/2020,20:26:12,25,27,24
9/5/2020,20:26:23,25,27,24
9/5/2020,20:26:34,25,27,24
9/5/2020,20:26:46,25,27,24
9/5/2020,20:26:57,25,27,24
9/5/2020,20:27:8,25,27,24
9/5/2020,20:27:19,25,27,24
9/5/2020,20:27:30,25,27,24
9/5/2020,20:27:41,25,27,24
9/5/2020,20:27:53,25,27,24
9/5/2020,20:28:4,25,28,24
9/5/2020,20:28:15,25,28,24
9/5/2020,20:28:26,25,28,24
9/5/2020,20:28:37,25,28,24
9/5/2020,20:28:48,25,28,24
9/5/2020,20:29:0,25,28,24
9/5/2020,20:29:11,25,28,24
9/5/2020,20:29:22,25,28,24
9/5/2020,20:29:33,25,28,24
9/5/2020,20:29:44,25,28,24
9/5/2020,20:29:55,25,28,24
9/5/2020,20:30:7,25,28,24
9/5/2020,20:30:18,25,28,24
9/5/2020,20:30:29,25,28,24
9/5/2020,20:30:40,25,28,24
9/5/2020,20:30:51,25,28,24
9/5/2020,20:31:2,25,28,24
9/5/2020,20:31:14,25,28,24
9/5/2020,20:31:25,25,28,24
9/5/2020,20:31:36,25,28,24
9/5/2020,20:31:47,25,28,24
9/5/2020,20:31:58,25,28,24
9/5/2020,20:32:9,25,28,24
9/5/2020,20:32:20,25,28,24
9/5/2020,20:32:32,25,28,24
9/5/2020,20:32:43,25,28,24
9/5/2020,20:32:54,25,28,24
9/5/2020,20:33:5,25,28,24
9/5/2020,20:33:16,25,28,24
9/5/2020,20:33:27,25,28,24
9/5/2020,20:33:39,25,28,24
9/5/2020,20:33:50,25,28,24
9/5/2020,20:34:1,25,28,24
9/5/2020,20:34:12,25,28,24
9/5/2020,20:34:23,25,28,24
9/5/2020,20:34:34,25,28,24
9/5/2020,20:34:46,25,28,24
9/5/2020,20:34:57,25,28,24
9/5/2020,20:35:8,25,28,24
9/5/2020,20:35:19,25,28,24
9/5/2020,20:35:30,25,28,24
9/5/2020,20:35:41,25,28,24
9/5/2020,20:35:53,25,28,24
9/5/2020,20:36:4,25,28,24
9/5/2020,20:36:15,25,28,24
9/5/2020,20:36:26,25,28,24
9/5/2020,20:36:37,25,28,24
9/5/2020,20:36:48,25,28,24
9/5/2020,20:37:0,25,28,24
9/5/2020,20:37:11,25,28,24
9/5/2020,20:37:22,25,28,24
9/5/2020,20:37:33,25,28,24
9/5/2020,20:37:44,25,28,24
9/5/2020,20:37:55,25,28,24
9/5/2020,20:38:7,25,28,24
9/5/2020,20:38:18,25,28,24
9/5/2020,20:38:29,25,28,24
9/5/2020,20:38:40,25,28,24
9/5/2020,20:38:51,25,28,24
9/5/2020,20:39:2,25,28,24
9/5/2020,20:39:13,25,28,24
9/5/2020,20:39:25,25,28,24
9/5/2020,20:39:36,25,28,24
9/5/2020,20:39:47,25,28,24
9/5/2020,20:39:58,25,29,24
9/5/2020,20:40:9,25,28,24
9/5/2020,20:40:20,25,28,24
9/5/2020,20:40:32,25,28,24
9/5/2020,20:40:43,25,28,24
9/5/2020,20:40:54,25,29,24
9/5/2020,20:41:5,25,28,24
9/5/2020,20:41:16,25,28,24
9/5/2020,20:41:27,25,28,24
9/5/2020,20:41:39,25,28,24
9/5/2020,20:41:50,25,28,24
9/5/2020,20:42:1,25,28,24
9/5/2020,20:42:12,25,28,24
9/5/2020,20:42:23,25,28,24
9/5/2020,20:42:34,25,28,24
9/5/2020,20:42:46,25,28,24
9/5/2020,20:42:57,25,28,24
9/5/2020,20:43:8,25,28,24
9/5/2020,20:43:19,25,28,24
9/5/2020,20:43:30,25,28,24
9/5/2020,20:43:41,25,28,24
9/5/2020,20:43:53,25,28,24
9/5/2020,20:44:4,25,29,24
9/5/2020,20:44:15,25,29,24
9/5/2020,20:44:26,25,28,24
9/5/2020,20:44:37,25,29,24
9/5/2020,20:44:48,25,29,24
9/5/2020,20:45:0,25,29,24
9/5/2020,20:45:11,25,29,24
9/5/2020,20:45:22,25,28,24
9/5/2020,20:45:33,25,29,24
9/5/2020,20:45:44,25,29,24
9/5/2020,20:45:55,25,28,24
9/5/2020,20:46:6,25,29,24
9/5/2020,20:46:18,25,29,24
9/5/2020,20:46:29,25,29,24
9/5/2020,20:46:40,25,29,24
9/5/2020,20:46:51,25,28,24
9/5/2020,20:47:2,25,29,24
9/5/2020,20:47:13,25,29,24
9/5/2020,20:47:25,25,28,24
9/5/2020,20:47:36,25,29,24
9/5/2020,20:47:47,25,28,24
9/5/2020,20:47:58,25,29,24
9/5/2020,20:48:9,25,29,24
9/5/2020,20:48:20,25,29,24
9/5/2020,20:48:32,25,29,24
9/5/2020,20:48:43,25,29,24
9/5/2020,20:48:54,25,29,24
9/5/2020,20:49:5,25,29,24
9/5/2020,20:49:16,25,28,24
9/5/2020,20:49:27,25,29,24
9/5/2020,20:49:39,25,29,24
9/5/2020,20:49:50,25,29,24
9/5/2020,20:50:1,25,29,24
9/5/2020,20:50:12,25,29,24
9/5/2020,20:50:23,25,29,24
9/5/2020,20:50:34,25,29,24
9/5/2020,20:50:46,25,29,24
9/5/2020,20:50:57,25,29,24
9/5/2020,20:51:8,25,29,24
9/5/2020,20:51:19,25,29,24
9/5/2020,20:51:30,25,29,24
9/5/2020,20:51:41,25,29,24
9/5/2020,20:51:52,25,29,24
9/5/2020,20:52:4,25,29,24
9/5/2020,20:52:15,25,29,24
9/5/2020,20:52:26,25,29,24
9/5/2020,20:52:37,25,29,24
9/5/2020,20:52:48,25,29,24
9/5/2020,20:52:59,25,29,24
9/5/2020,20:53:11,25,29,24
9/5/2020,20:53:22,25,29,24
9/5/2020,20:53:33,25,29,24
9/5/2020,20:53:44,25,29,24
9/5/2020,20:53:55,25,29,24
9/5/2020,20:54:6,25,29,24
9/5/2020,20:54:18,25,29,24
9/5/2020,20:54:29,25,29,24
9/5/2020,20:54:40,25,29,24
9/5/2020,20:54:51,25,29,24
9/5/2020,20:55:2,25,29,24
9/5/2020,20:55:13,25,29,24
9/5/2020,20:55:25,25,29,24
9/5/2020,20:55:36,25,29,24
9/5/2020,20:55:47,25,29,24
9/5/2020,20:55:58,25,29,24
9/5/2020,20:56:9,25,29,24
9/5/2020,20:56:21,25,29,24
9/5/2020,20:56:32,25,29,24
9/5/2020,20:56:43,25,29,24
9/5/2020,20:56:54,25,29,24
9/5/2020,20:57:5,25,29,24
9/5/2020,20:57:16,25,29,24
9/5/2020,20:57:28,25,29,24
9/5/2020,20:57:39,25,29,24
9/5/2020,20:57:50,25,29,24
9/5/2020,20:58:1,25,29,24
9/5/2020,20:58:12,25,29,24
9/5/2020,20:58:24,25,29,24
9/5/2020,20:58:35,25,29,24
9/5/2020,20:58:46,25,29,24
9/5/2020,20:58:57,25,29,24
9/5/2020,20:59:8,25,29,24
9/5/2020,20:59:19,25,29,24
9/5/2020,20:59:31,25,29,24
9/5/2020,20:59:42,25,29,24
9/5/2020,20:59:53,25,29,24
9/5/2020,21:0:4,25,29,24
9/5/2020,21:0:15,25,29,24
9/5/2020,21:0:26,25,29,24
9/5/2020,21:0:38,25,29,24
9/5/2020,21:0:49,25,29,24
9/5/2020,21:1:0,25,29,24
9/5/2020,21:1:11,25,29,24
9/5/2020,21:1:22,25,29,24
9/5/2020,21:1:34,25,29,24
9/5/2020,21:1:45,25,29,24
9/5/2020,21:1:56,25,29,24
9/5/2020,21:2:7,25,29,24
9/5/2020,21:2:18,25,29,24
9/5/2020,21:2:29,25,29,24
9/5/2020,21:2:41,25,29,24
9/5/2020,21:2:52,25,29,24
9/5/2020,21:3:3,25,29,24
9/5/2020,21:3:14,25,29,24
9/5/2020,21:3:25,25,29,24
9/5/2020,21:3:36,25,29,24
9/5/2020,21:3:48,25,29,24
9/5/2020,21:3:59,25,30,24
9/5/2020,21:4:10,25,30,24
9/5/2020,21:4:21,25,29,24
9/5/2020,21:4:32,25,29,24
9/5/2020,21:4:43,25,29,24
9/5/2020,21:4:55,25,29,24
9/5/2020,21:5:6,25,29,24
9/5/2020,21:5:17,25,29,24
9/5/2020,21:5:28,25,29,24
9/5/2020,21:5:39,25,29,24
